_id,name,nric,location,checkInTime,checkOutTime
ObjectId(62b5c611fbfac36d5faf4898),Chua Yi Xuan,S1234567A,AMK Hub,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf4899),Chua Yi Xuan,S1234567A,Hai Di Lao,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf489a),Chua Yi Xuan,S1234567A,Yakiniku,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf489b),Chua Yi Xuan,S1234567A,Saizerya,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf489c),Chua Yi Xuan,S1234567A,Woodlands MRT,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf489d),Chua Yi Xuan,S1234567A,SIT @ NYP,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf489e),Chua Yi Xuan,S1234567A,Yio Chu Kang MRT,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf489f),Ooi Jun Kai,S1234567B,AMK Hub,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48a0),Ooi Jun Kai,S1234567B,Hai Di Lao,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48a1),Ooi Jun Kai,S1234567B,Yakiniku,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48a2),Ooi Jun Kai,S1234567B,Saizerya,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48a3),Ooi Jun Kai,S1234567B,Woodlands MRT,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48a4),Ooi Jun Kai,S1234567B,SIT @ NYP,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48a5),Ooi Jun Kai,S1234567B,Yio Chu Kang MRT,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48a6),Lim Jun Xian,S1234567C,AMK Hub,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48a7),Lim Jun Xian,S1234567C,Hai Di Lao,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48a8),Lim Jun Xian,S1234567C,Yakiniku,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48a9),Lim Jun Xian,S1234567C,Saizerya,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48aa),Lim Jun Xian,S1234567C,Woodlands MRT,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48ab),Lim Jun Xian,S1234567C,SIT @ NYP,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48ac),Lim Jun Xian,S1234567C,Yio Chu Kang MRT,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48ad),Brandon Ong,S1234567D,AMK Hub,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48ae),Brandon Ong,S1234567D,Hai Di Lao,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48af),Brandon Ong,S1234567D,Yakiniku,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48b0),Brandon Ong,S1234567D,Saizerya,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48b1),Brandon Ong,S1234567D,Woodlands MRT,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48b2),Brandon Ong,S1234567D,SIT @ NYP,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48b3),Brandon Ong,S1234567D,Yio Chu Kang MRT,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48b4),Low Kai Heng,S1234567E,AMK Hub,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48b5),Low Kai Heng,S1234567E,Hai Di Lao,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48b6),Low Kai Heng,S1234567E,Yakiniku,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48b7),Low Kai Heng,S1234567E,Saizerya,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48b8),Low Kai Heng,S1234567E,Woodlands MRT,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48b9),Low Kai Heng,S1234567E,SIT @ NYP,2022-06-24T22:11:28.991Z,
ObjectId(62b5c611fbfac36d5faf48ba),Low Kai Heng,S1234567E,Yio Chu Kang MRT,2022-06-24T22:11:28.991Z,
